"","NS1_count","NS2_count","NS3_count","WT1_count","WT2_count","WT3_count"
"ENSMUSG00000000001.5",724,705,900,483,541,611
"ENSMUSG00000000003.16",0,0,0,0,0,0
"ENSMUSG00000000028.16",25,26,44,40,49,46
"ENSMUSG00000000031.19",30,49,81,6,7,10
"ENSMUSG00000000037.18",38,34.001,57,28.001,36,28
"ENSMUSG00000000049.12",2,1,1,3,3,2
"ENSMUSG00000000056.8",1327.032,1115,1722,1288,1323,1326.941
"ENSMUSG00000000058.7",546,482,673,258,381,382
"ENSMUSG00000000078.8",696,651,978.976,350,367,412.464
"ENSMUSG00000000085.17",867.711,693.002,1063.002,661,718.999,701
"ENSMUSG00000000088.8",767,780,995.035,736,793,775.51
"ENSMUSG00000000093.7",1370,1149,1536,762,821,796
"ENSMUSG00000000094.13",2,0,0,0,0,0
"ENSMUSG00000000103.13",0,0,0,0,0,0
"ENSMUSG00000000120.7",450.016,393,551,394.279,531.213,428
"ENSMUSG00000000125.6",7,1,9,0,6,4
"ENSMUSG00000000126.12",42,34,48,12,25,19
"ENSMUSG00000000127.16",191,212,311.001,253,257,283
"ENSMUSG00000000131.16",1373.376,1415.241,1628.766,1407.779,1402.383,1367.982
"ENSMUSG00000000134.18",682.001,541,869.999,538,523,457.012
"ENSMUSG00000000142.16",313.001,261,421,310,338.001,329.001
"ENSMUSG00000000148.18",249,233,345.001,302,275,298.001
"ENSMUSG00000000149.11",581,681,934.995,466,533,516
"ENSMUSG00000000154.17",3,4,13,0,3,0
"ENSMUSG00000000157.17",0,0,0,0,0,0
"ENSMUSG00000000159.17",1,3,1,0,3,3
"ENSMUSG00000000167.15",18,29,28,37,47,52.001
"ENSMUSG00000000168.11",969,886,1301,881.047,969,1021.772
"ENSMUSG00000000171.6",504,623,703,493,536.421,558
"ENSMUSG00000000182.10",7,6,10,1,3,5
"ENSMUSG00000000183.7",0,0,0,0,0,0
"ENSMUSG00000000184.13",92,174,190,35,54,40
"ENSMUSG00000000194.14",833.186,768.038,1177.892,922.91,1061.429,995.284
"ENSMUSG00000000197.9",1352.001,1118,1881,795,994,1028.868
"ENSMUSG00000000202.10",11,7,8.999,7.999,15,9
"ENSMUSG00000000204.17",7,15,44,0,3,1
"ENSMUSG00000000214.12",51,36,42,39,39,38
"ENSMUSG00000000215.12",0,0,0,0,0,0
"ENSMUSG00000000216.9",2,6,4,1,1,3
"ENSMUSG00000000223.14",285.982,199.037,322.95,169.336,217.014,176
"ENSMUSG00000000244.18",0,4,4,1,0,1
"ENSMUSG00000000247.12",567,542,824.001,385.001,510,464
"ENSMUSG00000000248.17",0,0,0,0,1,0
"ENSMUSG00000000253.14",185,151.805,190,119,133,109
"ENSMUSG00000000263.16",82.057,61,174,78,103,159
"ENSMUSG00000000266.12",488.999,394.001,633,286.993,354,295
"ENSMUSG00000000275.17",569,625.001,1034,410.025,458.87,451
"ENSMUSG00000000276.12",2512.838,3008.065,3283.501,4950.798,4791.09,4823.173
"ENSMUSG00000000278.11",246,248.847,370,144,131,144
"ENSMUSG00000000282.13",736,720,995,550,612,682
"ENSMUSG00000000290.14",115,142,252.999,11,8,16
"ENSMUSG00000000295.14",56,70,88,65,51,50
"ENSMUSG00000000296.9",15,25.999,20,11.001,16,12.999
"ENSMUSG00000000301.17",7,11,14,5,6,13
"ENSMUSG00000000303.14",19,17,33,9,19,18
"ENSMUSG00000000305.13",631,575,946,551,552,665
"ENSMUSG00000000308.15",630.006,565.913,869.001,1201.986,1267,1326.736
"ENSMUSG00000000317.12",2,6,20,6,2,3
"ENSMUSG00000000318.17",2,3,3,0,0,1
"ENSMUSG00000000320.11",1,1,1,8,3,4
"ENSMUSG00000000326.14",856.329,726.873,1030.433,522.719,631.598,609.92
"ENSMUSG00000000339.15",555.039,537.999,670,508.06,467,565
"ENSMUSG00000000340.11",169,164,234,113,158,170.992
"ENSMUSG00000000346.10",2474.787,2425.001,3033,1903.998,2190.936,2181.999
"ENSMUSG00000000355.14",212,259.999,311.002,221,258.908,250
"ENSMUSG00000000359.4",1,0,9,3,0,0
"ENSMUSG00000000365.10",3,5,3,2,6,3
"ENSMUSG00000000374.9",1208.994,1171,1726.999,1216.001,1507.001,1562
"ENSMUSG00000000378.16",274,255,405.999,220.482,241.999,237
"ENSMUSG00000000381.11",0,0,0,0,0,0
