id,WT1_count,WT2_count,WT3_count,NS1_count,NS2_count,NS3_count
ENSMUSG00000000001,1157.00,1105.00,999.00,1718.00,1348.00,1439.00
ENSMUSG00000000003,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000028,94.00,79.00,80.00,80.00,45.00,40.00
ENSMUSG00000000037,59.00,69.00,44.00,99.00,63.00,75.00
ENSMUSG00000000049,3.00,8.00,1.00,2.00,1.00,3.00
ENSMUSG00000000056,2475.00,2342.00,2275.00,3183.00,2017.00,2393.00
ENSMUSG00000000058,700.00,697.00,507.00,1248.00,836.00,1028.00
ENSMUSG00000000078,664.00,672.00,544.00,1690.00,1070.00,1154.00
ENSMUSG00000000085,1325.00,1295.00,1140.00,1872.00,1246.00,1544.00
ENSMUSG00000000088,1329.00,1424.00,1257.00,1663.00,1300.00,1297.00
ENSMUSG00000000093,1437.00,1512.00,1317.00,2816.00,2028.00,2445.00
ENSMUSG00000000094,0.00,0.00,0.00,0.00,2.00,0.00
ENSMUSG00000000103,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000120,844.00,925.00,742.00,1018.00,723.00,788.00
ENSMUSG00000000125,9.00,9.00,5.00,14.00,2.00,11.00
ENSMUSG00000000126,46.00,32.00,31.00,100.00,75.00,72.00
ENSMUSG00000000127,549.00,471.00,446.00,570.00,368.00,386.00
ENSMUSG00000000131,2201.00,2286.00,2194.00,2767.00,2291.00,2171.00
ENSMUSG00000000134,881.00,943.00,922.00,1577.00,979.00,1204.00
ENSMUSG00000000142,644.00,632.00,581.00,761.00,518.00,558.00
ENSMUSG00000000148,563.00,556.00,590.00,632.00,455.00,497.00
ENSMUSG00000000149,1013.00,1024.00,878.99,1753.74,1245.00,1148.40
ENSMUSG00000000154,0.00,3.00,1.00,21.00,7.00,6.00
ENSMUSG00000000157,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000159,3.00,4.00,3.00,3.00,3.00,1.00
ENSMUSG00000000167,44.00,44.00,37.00,41.00,34.00,22.00
ENSMUSG00000000168,1919.00,1850.00,1673.00,2462.00,1737.00,1839.00
ENSMUSG00000000171,1108.00,1046.00,921.00,1412.00,1168.00,1003.00
ENSMUSG00000000182,7.00,4.00,6.00,23.00,11.00,9.00
ENSMUSG00000000183,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000184,69.00,87.00,61.00,327.00,248.00,171.00
ENSMUSG00000000194,2024.00,2024.00,1799.44,2215.00,1415.00,1588.00
ENSMUSG00000000197,1897.00,1842.00,1522.00,3601.00,2070.00,2561.00
ENSMUSG00000000202,19.00,15.00,10.00,10.00,13.00,9.00
ENSMUSG00000000204,1.00,3.00,0.00,76.00,22.00,11.00
ENSMUSG00000000214,78.00,72.00,85.00,79.00,63.00,92.00
ENSMUSG00000000215,1.00,0.00,0.00,1.00,0.00,0.00
ENSMUSG00000000216,4.00,5.00,1.00,5.00,6.00,3.00
ENSMUSG00000000223,348.00,394.00,327.00,612.00,390.00,473.00
ENSMUSG00000000244,0.00,0.00,1.00,8.00,8.00,3.00
ENSMUSG00000000247,823.00,902.00,708.00,1428.00,916.00,999.00
ENSMUSG00000000248,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000253,199.00,189.00,151.00,342.00,244.00,297.00
ENSMUSG00000000263,254.00,189.00,124.00,292.00,108.00,140.00
ENSMUSG00000000266,622.00,668.00,574.00,1213.00,747.00,983.00
ENSMUSG00000000275,857.00,810.00,735.00,1898.00,1129.00,1018.00
ENSMUSG00000000276,8956.00,9084.00,9066.00,5974.00,5561.00,4713.00
ENSMUSG00000000278,265.00,274.00,268.00,683.00,453.00,485.00
ENSMUSG00000000282,1210.00,1122.00,993.00,1786.00,1262.00,1329.00
ENSMUSG00000000290,29.00,14.00,22.00,443.00,259.00,252.00
ENSMUSG00000000295,104.00,83.00,104.00,128.00,119.00,90.00
ENSMUSG00000000296,22.00,27.00,13.00,36.00,32.00,31.00
ENSMUSG00000000301,14.00,13.00,5.00,21.00,19.00,17.00
ENSMUSG00000000303,33.00,25.00,25.00,62.00,32.00,53.00
ENSMUSG00000000305,1246.00,1061.00,988.00,1722.00,1044.00,1174.00
ENSMUSG00000000308,2511.00,2377.00,2224.00,1670.00,1093.00,1210.00
ENSMUSG00000000317,4.00,9.00,6.00,38.00,12.00,9.00
ENSMUSG00000000318,2.00,1.00,2.00,7.00,5.00,4.00
ENSMUSG00000000320,8.00,3.00,12.00,3.00,2.00,2.00
ENSMUSG00000000326,1058.81,1052.03,944.47,1894.74,1307.00,1461.60
ENSMUSG00000000339,1059.00,954.00,946.00,1293.00,1059.00,1036.00
ENSMUSG00000000340,301.00,296.00,204.00,444.00,305.00,307.00
ENSMUSG00000000346,4091.00,4183.00,3651.00,5826.00,4761.00,4738.00
ENSMUSG00000000355,231.00,275.00,187.00,368.00,290.00,321.00
ENSMUSG00000000359,0.00,6.00,3.00,13.00,2.00,3.00
ENSMUSG00000000365,7.00,14.00,6.00,7.00,11.00,4.00
ENSMUSG00000000374,2744.00,2630.00,2195.00,3150.00,2107.00,2189.00
ENSMUSG00000000378,463.00,469.00,418.00,755.00,439.00,536.00
ENSMUSG00000000381,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000384,450.00,534.00,497.00,619.00,402.00,494.00
ENSMUSG00000000385,2.00,0.00,0.00,1.00,0.00,1.00
ENSMUSG00000000386,1.00,0.00,0.00,128.00,67.00,39.00
ENSMUSG00000000392,10.00,28.00,24.00,96.00,19.00,30.00
ENSMUSG00000000394,0.00,0.00,0.00,0.00,3.00,0.00
ENSMUSG00000000399,1518.00,1513.00,1422.00,1682.00,1327.00,1316.00
ENSMUSG00000000402,15.00,15.00,20.00,53.00,21.00,14.00
ENSMUSG00000000409,8.00,8.00,9.00,59.00,38.00,34.00
ENSMUSG00000000411,1.00,0.00,0.00,4.00,2.00,2.00
ENSMUSG00000000416,1191.00,1107.00,1077.00,1476.00,1084.00,1351.00
ENSMUSG00000000420,1801.00,1666.00,1514.00,2639.00,1986.00,1989.00
ENSMUSG00000000435,0.00,0.00,0.00,1.00,1.00,0.00
ENSMUSG00000000439,1446.89,1651.80,1574.31,1639.39,1445.54,1381.07
ENSMUSG00000000440,2.00,2.00,1.00,14.00,3.00,6.00
ENSMUSG00000000441,1879.11,1845.20,1637.69,2147.61,1491.46,1619.93
ENSMUSG00000000486,11.00,8.00,7.00,22.00,17.00,19.00
ENSMUSG00000000489,68.00,82.00,85.00,155.00,103.00,121.00
ENSMUSG00000000530,193.00,190.00,183.00,330.00,264.00,260.00
ENSMUSG00000000531,56.00,34.00,36.00,96.00,78.00,76.00
ENSMUSG00000000532,3055.00,2844.00,2647.00,4089.00,2624.00,3063.00
ENSMUSG00000000538,5961.00,5627.00,4708.00,7199.00,4468.00,5395.00
ENSMUSG00000000544,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000552,15677.00,15760.00,13994.00,13695.00,9339.00,9048.00
ENSMUSG00000000555,74.00,63.00,48.00,235.00,192.00,154.00
ENSMUSG00000000560,268.00,318.00,280.03,1428.00,307.00,648.00
ENSMUSG00000000561,1836.15,1857.00,1604.00,1934.00,1470.00,1437.00
ENSMUSG00000000562,4.00,0.00,2.00,28.00,19.00,8.00
ENSMUSG00000000563,3992.85,4006.00,3763.00,5008.00,3747.00,3929.00
ENSMUSG00000000567,283.00,300.00,294.00,1621.00,1012.00,1047.00
ENSMUSG00000000568,4523.00,4817.00,4195.00,6646.00,4930.00,5187.00
ENSMUSG00000000579,415.00,419.94,399.69,370.58,245.54,360.30
ENSMUSG00000000581,928.00,897.00,770.00,1226.00,1002.00,1044.00
ENSMUSG00000000594,749.00,684.00,665.00,1907.00,1346.00,1290.00
ENSMUSG00000000600,1168.00,1172.00,1156.00,1475.00,1024.00,1250.00
ENSMUSG00000000605,4451.00,4514.00,4105.00,5729.00,4093.00,4207.00
ENSMUSG00000000606,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000617,2600.00,2560.00,2637.00,4092.00,2860.00,3680.00
ENSMUSG00000000627,218.00,242.00,180.00,386.00,238.00,280.00
ENSMUSG00000000628,12058.00,12683.00,12081.00,4711.00,3428.00,2671.00
ENSMUSG00000000631,2100.00,2043.00,1817.00,2911.00,1766.00,1931.00
ENSMUSG00000000632,2590.00,2589.00,2377.00,3809.00,2468.00,2775.00
ENSMUSG00000000673,10.00,5.00,2.00,4.00,5.00,5.00
ENSMUSG00000000682,7.00,6.00,10.00,273.00,181.00,173.00
ENSMUSG00000000686,20.00,7.00,3.00,58.00,28.00,34.00
ENSMUSG00000000690,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000693,63.31,62.17,62.28,152.98,112.42,124.62
ENSMUSG00000000701,0.00,0.00,0.00,0.00,0.00,0.00
ENSMUSG00000000706,2.00,2.00,0.00,1.00,0.00,1.00
ENSMUSG00000000708,3851.00,3635.00,3294.00,4449.00,3212.00,3152.00
ENSMUSG00000000711,4296.00,4117.00,3595.00,5828.00,3724.00,4197.00
ENSMUSG00000000724,185.00,751.00,155.00,357.00,115.00,138.00
ENSMUSG00000000730,3.00,0.00,3.00,0.00,1.00,2.00
ENSMUSG00000000731,2.00,2.00,6.00,1.00,0.00,1.00
ENSMUSG00000000732,32.00,23.00,32.00,141.00,97.00,106.00
ENSMUSG00000000738,2188.00,2194.00,1947.00,1396.00,1188.00,1119.00
ENSMUSG00000000739,0.00,3.00,0.00,2.00,1.00,2.00
ENSMUSG00000000740,4282.00,4678.00,4318.00,5664.00,4362.00,4228.00
ENSMUSG00000000743,1022.00,1122.00,1062.00,1404.00,1176.00,1173.00
ENSMUSG00000000751,4230.00,4117.00,3874.00,5209.00,3867.00,4353.00
ENSMUSG00000000753,107.00,94.00,100.00,388.00,347.00,278.00
ENSMUSG00000000759,1163.00,1085.00,1022.00,1335.00,979.00,1033.00
ENSMUSG00000000766,6.00,10.00,9.00,17.00,6.00,7.00
ENSMUSG00000000776,361.00,327.00,312.00,380.00,233.00,273.00
ENSMUSG00000000782,54.00,49.00,50.00,222.00,152.00,159.00
ENSMUSG00000000787,11107.00,10768.00,9588.00,13972.00,11363.00,10942.00
ENSMUSG00000000791,1.00,2.00,2.00,10.00,11.00,10.00
ENSMUSG00000000792,183.00,219.00,200.00,287.00,189.00,261.00
ENSMUSG00000000794,14.00,10.00,8.00,49.00,14.00,20.00
ENSMUSG00000000804,4319.00,4022.00,3424.00,5980.00,3661.00,4180.00
ENSMUSG00000000805,15.00,19.00,15.00,20.00,7.00,17.00
ENSMUSG00000000811,212.00,189.00,164.00,305.00,210.00,232.00
ENSMUSG00000000817,2.00,2.00,0.00,11.00,0.00,5.00
ENSMUSG00000000823,1576.00,1579.00,1523.00,1907.00,1441.00,1714.00
ENSMUSG00000000826,15554.00,14747.00,13269.00,16472.00,11416.00,11889.00
ENSMUSG00000000827,1061.00,1022.00,998.00,1264.00,914.00,1004.00
ENSMUSG00000000838,1917.00,2051.00,1794.00,2344.00,1843.00,1925.00
